Ligand,SMILES,LGFE(kcal/mol),LE(kcal/mol),PoseNo
Z229450060,CCOc1ccc(OCC)c(NC(=O)CN2CCC(C(=O)c3ccc(OC)cc3)CC2)c1,-13.475,-0.421,05
Z822380816,CC(C)Cc1noc(CS(=O)(=O)Cc2noc(C(C)C)n2)n1,-13.471,-0.612,03
Z91044787,CC(=O)c1ccc(S(=O)(=O)Nc2ccc(C(=O)N3CCN(CC(=O)NC4CC4)CC3)cc2)cc1,-13.468,-0.396,05
Z734249758,COCCCNC(=O)C1CCN(c2ncnc3c2cnn3C)CC1,-13.439,-0.560,01
Z821771914,COc1ccnc(N2CC[NH+](CCOc3ccccc3OC)CC2)n1,-13.421,-0.537,01
Z821771914,COc1ccnc(N2CC[NH+](CCOc3ccccc3OC)CC2)n1,-13.416,-0.537,02
Z641346294,COCCNC(=O)CN1CCN([C@@H](C)c2nc(C3CC3)no2)CC1,-13.395,-0.558,04
Z821771914,COc1ccnc(N2CC[NH+](CCOc3ccccc3OC)CC2)n1,-13.393,-0.536,03
Z821771914,COc1ccnc(N2CC[NH+](CCOc3ccccc3OC)CC2)n1,-13.389,-0.536,04
Z821771914,COc1ccnc(N2CC[NH+](CCOc3ccccc3OC)CC2)n1,-13.387,-0.535,05
Z1393100271,C[C@H]1Oc2ccc(C(=O)[C@H]3CC[N@@H+](C[C@@H](O)COC4CCOCC4)CC3)cc2NC1=O,-13.341,-0.430,02
Z734249758,COCCCNC(=O)C1CCN(c2ncnc3c2cnn3C)CC1,-13.341,-0.556,02
Z223015720,Cc1ccc(NC(=O)[C@H](C)[N@H+]2CC[C@H](C(=O)c3ccccc3)CC2)cc1S(=O)(=O)N1CCOCC1,-13.288,-0.380,01
Z319217066,COc1ccccc1/C=C/C=c1/sc2nc(=O)c(Cc3ccccc3Cl)nn2c1=O,-13.288,-0.443,01
Z1144022825,COc1cccc([C@H]2C[C@@H]2C(=O)Nc2cccc(-n3cnnn3)c2)c1,-13.287,-0.531,05
Z1024232014,NC(=O)c1cccc(CCNC(=O)CCC(=O)c2ccc3c(c2)OCCO3)c1,-13.284,-0.474,02
Z1169856095,Cc1ccc(OCc2nc(CC(=O)NC3CCCCC3)no2)cc1C,-13.265,-0.531,01
Z821305824,Cc1cc(C)n(-c2ccc(SCc3nnc(C4CC4)o3)nn2)n1,-13.238,-0.576,01
Z1315945609,CC(C)OCC[NH+]1CCN(C(=O)c2ccc(-c3ncon3)cc2)CC1,-13.229,-0.529,01
Z641346294,COCCNC(=O)CN1CCN([C@@H](C)c2nc(C3CC3)no2)CC1,-13.209,-0.550,05
Z821305824,Cc1cc(C)n(-c2ccc(SCc3nnc(C4CC4)o3)nn2)n1,-13.200,-0.574,02
Z734249758,COCCCNC(=O)C1CCN(c2ncnc3c2cnn3C)CC1,-13.190,-0.550,03
Z1024232014,NC(=O)c1cccc(CCNC(=O)CCC(=O)c2ccc3c(c2)OCCO3)c1,-13.168,-0.470,03
Z223015720,Cc1ccc(NC(=O)[C@H](C)[N@H+]2CC[C@H](C(=O)c3ccccc3)CC2)cc1S(=O)(=O)N1CCOCC1,-13.166,-0.376,02
Z822380816,CC(C)Cc1noc(CS(=O)(=O)Cc2noc(C(C)C)n2)n1,-13.161,-0.598,04
Z223015720,Cc1ccc(NC(=O)[C@H](C)[N@H+]2CC[C@H](C(=O)c3ccccc3)CC2)cc1S(=O)(=O)N1CCOCC1,-13.131,-0.375,03
Z734249758,COCCCNC(=O)C1CCN(c2ncnc3c2cnn3C)CC1,-13.117,-0.547,04
Z1024232014,NC(=O)c1cccc(CCNC(=O)CCC(=O)c2ccc3c(c2)OCCO3)c1,-13.116,-0.468,04
Z822380816,CC(C)Cc1noc(CS(=O)(=O)Cc2noc(C(C)C)n2)n1,-13.095,-0.595,05
Z1275665653,CNc1cc(N2CCC[C@@H]2CNC(=O)c2cc(C(C)C)[nH]n2)ncn1,-13.088,-0.524,01
Z1024232014,NC(=O)c1cccc(CCNC(=O)CCC(=O)c2ccc3c(c2)OCCO3)c1,-13.080,-0.467,05
Z2347167826,CCNC(=O)c1ccc(N2CCC(OCC3CCCCC3)CC2)nn1,-13.016,-0.521,01
Z2347167826,CCNC(=O)c1ccc(N2CCC(OCC3CCCCC3)CC2)nn1,-13.010,-0.520,02
