Ligand,SMILES,LGFE(kcal/mol),LE(kcal/mol),PoseNo
Z1165365271,COc1ccc(-c2nnc(-c3cnc4onc(C)c4c3)o2)c(OC)c1,-11.336,-0.453,01
Z827260718,Cc1cccc(NC(=O)CCNC(=O)c2cccc(OC(F)F)c2)n1,-11.335,-0.453,01
Z363558810,Cn1nnnc1-c1cccc(NC(=O)CC[C@@H]2CCCO2)c1,-11.333,-0.515,02
Z5620697332,C[NH+](C)CC1(c2nc(-c3cccc(-n4cncn4)c3)no2)CC1,-11.332,-0.493,05
Z933937368,Cc1noc([C@H]2CCCN(C(=O)NCCc3cccc(Cl)c3)C2)n1,-11.330,-0.472,02
Z1173796614,CN(C[C@H](O)C[N@H+]1CC[N@H+](C)CC1)c1ncnc2[nH]ccc12,-11.328,-0.515,05
Z512599840,O=C(Nc1cccc(COC[C@@H]2CCCCO2)c1)C1CCOCC1,-11.328,-0.472,02
Z1796868292,COc1ccc(CCNC(=O)C[N@H+]2CC[C@H](C)[C@H]2CO)cc1OC,-11.327,-0.472,02
Z2058120867,Cc1cc(NC(=O)CN2CCO[C@H](C)[C@H]2c2nc(C)no2)n(C)n1,-11.325,-0.472,04
Z1252336609,Cc1noc(-c2ccnc(N3CCN(CC(=O)NC4CC4)CC3)c2)n1,-11.323,-0.453,04
Z2764030238,Cc1cccc(CC(=O)NC[C@H]2C[C@H](c3nc(C)no3)C[C@H]2O)c1,-11.323,-0.472,01
Z512599840,O=C(Nc1cccc(COC[C@@H]2CCCCO2)c1)C1CCOCC1,-11.323,-0.472,03
Z1002215254,c1cc(CNc2cncc(-n3cccn3)n2)cc(Cn2cncn2)c1,-11.322,-0.453,03
Z1560520361,CCCOc1ccc(C(=O)CCC(=O)N2CCC[C@H]2c2nncn2C)cc1,-11.321,-0.419,01
Z26552713,Cc1cccc(OCC(=O)Nc2ccc(-n3cnnn3)cc2)c1,-11.320,-0.492,03
Z2764024223,COc1cccc(C(=O)NC[C@H]2C[C@H](c3nc(C)no3)C[C@H]2O)c1,-11.319,-0.472,05
Z105911298,NC(=O)NC(=O)CN1CC[NH+](Cc2ccc3c(c2)OCCO3)CC1,-11.318,-0.472,01
Z1627485429,COc1cncc(/C=C/C(=O)NCCCOC2CCCC2)c1,-11.318,-0.514,05
Z1939904428,COc1ccc(NC(=O)CN2CCO[C@@]3(CCO[C@H]3C)C2)cc1,-11.318,-0.492,05
Z240416650,O=C(NCCCC(=O)N1CCC(C(=O)c2ccc3c(c2)OCCO3)CC1)NC1CCCCC1,-11.317,-0.343,01
Z2847006838,Cc1ccc(C)c(OC[C@H](O)Cn2cc([C@@H]([NH3+])[C@@H]3CCCO3)nn2)c1,-11.317,-0.453,05
Z2832180499,COc1ccc(OCC(=O)NCCN(C)CCS(C)(=O)=O)cc1,-11.316,-0.492,05
Z827260718,Cc1cccc(NC(=O)CCNC(=O)c2cccc(OC(F)F)c2)n1,-11.316,-0.453,02
Z1143371986,CC(C)C[N@H+]1CCO[C@@H](CNS(=O)(=O)C[C@@H]2CCOC2)C1,-11.314,-0.539,02
Z1747443131,CC(=O)N[C@H]1CC[C@H](Nc2ccc(C)cc2OC[C@H]2CCCO2)CC1,-11.310,-0.452,01
Z2383805756,CC[C@@H]1C[C@H](C[N@H+]2CC[C@H](c3nnc(C(=O)NC)[nH]3)CC2)CCO1,-11.310,-0.471,03
Z2383805756,CC[C@@H]1C[C@H](C[N@H+]2CC[C@H](c3nnc(C(=O)NC)[nH]3)CC2)CCO1,-11.308,-0.471,04
Z1127202134,COCCOc1ccc(NC(=O)NC2(CO)CCOCC2)cn1,-11.305,-0.492,01
Z1708831341,Clc1ccccc1-c1nnc(CN2CCO[C@@]3(CCOC3)C2)o1,-11.303,-0.491,02
Z512599840,O=C(Nc1cccc(COC[C@@H]2CCCCO2)c1)C1CCOCC1,-11.303,-0.471,04
Z1158465895,CC(C)Cc1ccc(C(=O)CCC(=O)Nc2cc(C(N)=O)c(F)cc2F)cc1,-11.302,-0.404,03
Z2010703506,Cc1ccc(C2=NO[C@@H](CNc3ncnc4c3cnn4C)C2)cc1C,-11.300,-0.452,01
Z30202184,Cc1cccc(OCC(=O)Nc2ccc(S(=O)(=O)/N=c3/nc(C)cc(C)[nH]3)cc2)c1,-11.300,-0.377,04
Z217523456,CCOc1ccc([C@@H](C)NC(=O)c2ccc(-n3cnnn3)cc2)cc1,-11.298,-0.452,04
Z49575508,COc1cc(/C=N/NC(=O)c2cccnc2)ccc1OCCC(C)C,-11.298,-0.452,02
Z1165365271,COc1ccc(-c2nnc(-c3cnc4onc(C)c4c3)o2)c(OC)c1,-11.295,-0.452,02
Z1165365271,COc1ccc(-c2nnc(-c3cnc4onc(C)c4c3)o2)c(OC)c1,-11.295,-0.452,03
Z51007101,N#CC1(NC(=O)COc2cccc(-n3cnnn3)c2)CCCC1,-11.295,-0.491,05
Z2761818122,CCn1ncc(C[N@H+]2C[C@H](N3CCO[C@H](c4nc(C)no4)C3)C2)n1,-11.294,-0.471,04
Z366650962,O=C(CC[C@H]1CCCO1)NCc1ccnc(-n2cccn2)c1,-11.294,-0.513,01
Z827344606,CCOc1ccc(C[C@@H](CNC(=O)c2cnccn2)C(N)=O)cc1,-11.292,-0.470,01
Z383211964,C[C@H](NC(=O)CCc1nc(-c2ccccn2)no1)[C@H]1C[C@H]2CC[C@@H]1C2,-11.291,-0.452,01
Z26552713,Cc1cccc(OCC(=O)Nc2ccc(-n3cnnn3)cc2)c1,-11.290,-0.491,04
Z1462421438,Cc1nnc([C@@H]2CCCN2CCOc2ccc(C(C)C)c(C)c2)o1,-11.283,-0.470,05
Z26552713,Cc1cccc(OCC(=O)Nc2ccc(-n3cnnn3)cc2)c1,-11.283,-0.491,05
Z1328616701,COc1cc(C[NH+]2CCN(c3ccnc(C)n3)CC2)cc(OC)c1,-11.282,-0.470,01
Z1328616701,COc1cc(C[NH+]2CCN(c3ccnc(C)n3)CC2)cc(OC)c1,-11.282,-0.470,02
Z217523456,CCOc1ccc([C@@H](C)NC(=O)c2ccc(-n3cnnn3)cc2)cc1,-11.281,-0.451,05
Z363558810,Cn1nnnc1-c1cccc(NC(=O)CC[C@@H]2CCCO2)c1,-11.280,-0.513,03
Z646387752,CC(C)Oc1ccc(CC[C@@H](C)Nc2ncnc3[nH]cnc23)cc1,-11.280,-0.470,01
Z1139251552,O=C(CNC[C@H]1CCCN1c1cccnn1)NCCC1=CCCCC1,-11.279,-0.451,01
Z57975869,COc1ccc(O)c(C(=O)c2cnn(C(=O)CN3CCCC3=O)c2)c1,-11.279,-0.451,01
Z770412228,COCCOc1cccc(CNC(=O)c2cnc3[nH]nc(C)c3c2)c1,-11.278,-0.451,01
Z49575508,COc1cc(/C=N/NC(=O)c2cccnc2)ccc1OCCC(C)C,-11.277,-0.451,03
Z512599840,O=C(Nc1cccc(COC[C@@H]2CCCCO2)c1)C1CCOCC1,-11.276,-0.470,05
Z1456255791,O=C(c1ccc2c(c1)OCCO2)C1CCN([C@@H]2CS(=O)(=O)C[C@H]2O)CC1,-11.273,-0.434,02
Z2451271997,COc1ccc(C[N@H+]2CC[C@@H](CNC(=O)[C@@H]3COCCN3)CC2)cc1,-11.271,-0.451,03
Z608351286,COc1ccc(C(=O)Nc2cccc(/C=C/C(=O)c3ccc(O)c(CCCl)c3)c2)cc1,-11.271,-0.364,01
Z1759887352,NC(=O)c1noc([C@@H]2CCCN2CCC[NH+]2CCOCC2)n1,-11.269,-0.512,02
Z1334612550,CCc1cc(N2CCC(NC(=O)CC[C@@H]3CCCO3)CC2)ncn1,-11.268,-0.469,02
Z900386116,COC[C@H](C)N(C)S(=O)(=O)c1cccc(-n2cnnn2)c1,-11.267,-0.537,04
Z1238963570,Cc1ccn(-c2ccc(NCc3cc(F)cc4c3OCOC4)nn2)n1,-11.266,-0.451,01
Z1271923561,C[C@@]1(CO)CCC[C@@H]1[NH2+]Cc1cnc(N2CCOCC2)nc1,-11.266,-0.512,01
Z49575508,COc1cc(/C=N/NC(=O)c2cccnc2)ccc1OCCC(C)C,-11.266,-0.451,04
Z932841722,COc1ccc(OC/C([O-])=N/S(=O)(=O)C2CCOCC2)cc1,-11.266,-0.512,01
Z1579478735,Cc1ccc(C[C@H]2CCCN2C(=O)NCCc2nnnn2C)cc1,-11.264,-0.469,01
Z1993809762,COc1ccc(O[C@H]2CC[N@@H+](Cc3ncnn3CCF)CC2)cc1,-11.264,-0.469,03
Z27695760,COc1ccc(OCCC(=O)NCc2ccc3c(c2)OCO3)cc1,-11.264,-0.469,04
Z1757599611,COc1ccc(Cc2noc([C@H]3CCc4ncnn4C3)n2)cc1,-11.263,-0.490,02
Z1993809762,COc1ccc(O[C@H]2CC[N@@H+](Cc3ncnn3CCF)CC2)cc1,-11.263,-0.469,04
Z2781825263,O=C(Cc1ccccc1O[C@@H]1CCOC1)N[C@H]1C[C@H](CO)C1,-11.263,-0.512,03
Z1268952929,CCCc1nnc([C@@H]2CN(Cc3nnc(C4CCC4)o3)CCO2)[nH]1,-11.262,-0.469,04
Z383211964,C[C@H](NC(=O)CCc1nc(-c2ccccn2)no1)[C@H]1C[C@H]2CC[C@@H]1C2,-11.262,-0.450,02
Z827260718,Cc1cccc(NC(=O)CCNC(=O)c2cccc(OC(F)F)c2)n1,-11.261,-0.450,03
Z932841722,COc1ccc(OC/C([O-])=N/S(=O)(=O)C2CCOCC2)cc1,-11.260,-0.512,02
Z932841722,COc1ccc(OC/C([O-])=N/S(=O)(=O)C2CCOCC2)cc1,-11.259,-0.512,03
Z961060594,Cc1nnc(-c2ccc(NC(=O)c3ccc(-n4cnnn4)cc3)cc2)[nH]1,-11.255,-0.433,01
Z363558810,Cn1nnnc1-c1cccc(NC(=O)CC[C@@H]2CCCO2)c1,-11.254,-0.512,04
Z449785670,N#C/C(=C\c1ccc(N2CCOCC2)cc1)C(=O)c1ccc2c(c1)OCO2,-11.253,-0.417,01
Z383211964,C[C@H](NC(=O)CCc1nc(-c2ccccn2)no1)[C@H]1C[C@H]2CC[C@@H]1C2,-11.251,-0.450,03
Z57975869,COc1ccc(O)c(C(=O)c2cnn(C(=O)CN3CCCC3=O)c2)c1,-11.251,-0.450,02
Z1389984252,CC(C)C[C@H](C)OCCC(=O)Nc1cccc(-c2ccc(=O)[nH]n2)c1,-11.250,-0.450,01
Z1328616701,COc1cc(C[NH+]2CCN(c3ccnc(C)n3)CC2)cc(OC)c1,-11.249,-0.469,03
Z932841722,COc1ccc(OC/C([O-])=N/S(=O)(=O)C2CCOCC2)cc1,-11.247,-0.511,04
Z433500306,COc1ccccc1CCNC(=O)Nc1cccc(OC(F)F)c1,-11.246,-0.469,01
Z932841722,COc1ccc(OC/C([O-])=N/S(=O)(=O)C2CCOCC2)cc1,-11.246,-0.511,05
Z900386116,COC[C@H](C)N(C)S(=O)(=O)c1cccc(-n2cnnn2)c1,-11.245,-0.535,05
Z1079896476,CCc1nc([C@@H]2CCCN(C(=O)[C@@H]3C[C@H]3c3cccc(C)c3)C2)no1,-11.241,-0.450,01
Z1165365271,COc1ccc(-c2nnc(-c3cnc4onc(C)c4c3)o2)c(OC)c1,-11.239,-0.450,04
Z1456255791,O=C(c1ccc2c(c1)OCCO2)C1CCN([C@@H]2CS(=O)(=O)C[C@H]2O)CC1,-11.239,-0.432,03
Z1739699312,CS(=O)(=O)Nc1ccc(-c2noc(Cc3ccc(O)cc3)n2)cc1,-11.236,-0.468,03
Z1389984252,CC(C)C[C@H](C)OCCC(=O)Nc1cccc(-c2ccc(=O)[nH]n2)c1,-11.235,-0.449,02
Z1993809762,COc1ccc(O[C@H]2CC[N@@H+](Cc3ncnn3CCF)CC2)cc1,-11.235,-0.468,05
Z1139496454,Cc1cc(C)n(C[C@H]2CN(CC(=O)Nc3cc(C)on3)CCO2)n1,-11.233,-0.468,01
Z30202184,Cc1cccc(OCC(=O)Nc2ccc(S(=O)(=O)/N=c3/nc(C)cc(C)[nH]3)cc2)c1,-11.232,-0.374,05
Z2781825263,O=C(Cc1ccccc1O[C@@H]1CCOC1)N[C@H]1C[C@H](CO)C1,-11.231,-0.510,04
Z2069888324,C[C@H](C(=O)NC(=O)NC1CC1)N1CCC[C@@H](S(=O)(=O)N(C)C)C1,-11.230,-0.488,02
Z2383805756,CC[C@@H]1C[C@H](C[N@H+]2CC[C@H](c3nnc(C(=O)NC)[nH]3)CC2)CCO1,-11.228,-0.468,05
Z999078716,Cc1cccc(-n2cc(C(=O)Nc3nnc(-c4ccccn4)[nH]3)nn2)c1,-11.228,-0.432,02
Z2764030238,Cc1cccc(CC(=O)NC[C@H]2C[C@H](c3nc(C)no3)C[C@H]2O)c1,-11.227,-0.468,02
Z114950992,CCOc1cc2c(cc1/C=C/C(=O)c1ccc3c(c1)NC(=O)CO3)O[C@H](C)C2,-11.225,-0.401,02
Z2781825263,O=C(Cc1ccccc1O[C@@H]1CCOC1)N[C@H]1C[C@H](CO)C1,-11.225,-0.510,05
Z961060594,Cc1nnc(-c2ccc(NC(=O)c3ccc(-n4cnnn4)cc3)cc2)[nH]1,-11.225,-0.432,02
Z114950992,CCOc1cc2c(cc1/C=C/C(=O)c1ccc3c(c1)NC(=O)CO3)O[C@H](C)C2,-11.224,-0.401,03
Z1334612550,CCc1cc(N2CCC(NC(=O)CC[C@@H]3CCCO3)CC2)ncn1,-11.224,-0.468,03
Z1796868292,COc1ccc(CCNC(=O)C[N@H+]2CC[C@H](C)[C@H]2CO)cc1OC,-11.220,-0.467,03
Z449785670,N#C/C(=C\c1ccc(N2CCOCC2)cc1)C(=O)c1ccc2c(c1)OCO2,-11.220,-0.416,02
Z48964470,CC(=O)c1ccc(NC(=O)C[C@@H]2SC(NC[C@@H]3CCCO3)=NC2=O)cc1,-11.220,-0.432,01
Z57906498,CCCSc1ncc(Cl)c(C(=O)Nc2ccc(S(=O)(=O)/N=c3\nc(C)cc(C)[nH]3)cc2)n1,-11.218,-0.351,02
Z1754500736,CC(C)c1nnc([C@@H]2CN(S(=O)(=O)/C=C/c3ccccc3Cl)CCO2)o1,-11.217,-0.431,02
Z1723918734,N[C@@H](Cc1cnc[nH]1)c1nc(-c2cccc3ccccc23)no1,-11.216,-0.488,01
Z2058120867,Cc1cc(NC(=O)CN2CCO[C@H](C)[C@H]2c2nc(C)no2)n(C)n1,-11.216,-0.467,05
Z1828665933,COc1cc(CCNC(=O)NC[C@H]2CC[C@@H](O)C2)ccc1F,-11.215,-0.510,01
Z27695760,COc1ccc(OCCC(=O)NCc2ccc3c(c2)OCO3)cc1,-11.215,-0.467,05
Z28276809,COc1ccc(CCN2C[C@H](C(=O)NC(C)(C)C)CC2=O)cc1OC,-11.215,-0.449,04
Z351236604,O=C(/C=C/c1cn(Cc2ccccc2)nc1-c1cccnc1)c1ccc(O)c(CCCl)c1,-11.210,-0.350,02
Z1165365271,COc1ccc(-c2nnc(-c3cnc4onc(C)c4c3)o2)c(OC)c1,-11.204,-0.448,05
Z383211964,C[C@H](NC(=O)CCc1nc(-c2ccccn2)no1)[C@H]1C[C@H]2CC[C@@H]1C2,-11.203,-0.448,04
Z240416650,O=C(NCCCC(=O)N1CCC(C(=O)c2ccc3c(c2)OCCO3)CC1)NC1CCCCC1,-11.200,-0.339,02
Z2732436885,COc1ccc(-c2noc(CCCC(=O)Nc3nn[nH]c3C)n2)cc1,-11.200,-0.448,05
Z28276809,COc1ccc(CCN2C[C@H](C(=O)NC(C)(C)C)CC2=O)cc1OC,-11.200,-0.448,05
Z1721317214,COc1cc(C(=O)Nc2cccc(S(=O)(=O)F)c2)ccc1OCC(=O)NC(C)C,-11.199,-0.386,01
Z1328616701,COc1cc(C[NH+]2CCN(c3ccnc(C)n3)CC2)cc(OC)c1,-11.197,-0.467,04
Z1268952929,CCCc1nnc([C@@H]2CN(Cc3nnc(C4CCC4)o3)CCO2)[nH]1,-11.196,-0.466,05
Z266491268,COc1ccc(NC[C@H](O)COc2ccc(C(C)=O)cc2OC)cc1,-11.196,-0.448,02
Z49575508,COc1cc(/C=N/NC(=O)c2cccnc2)ccc1OCCC(C)C,-11.193,-0.448,05
Z1941712293,COc1ccccc1O[C@H](C)CNC(=O)N1C[C@@H](C)O[C@@H](C2CC2)C1,-11.192,-0.448,01
Z434457782,CCOc1ccc2c(c1)CC(C(=O)NCCCn1cncn1)=CO2,-11.191,-0.466,01
Z356626772,CS(=O)(=O)N1CCC(NC(=O)COCc2ccccc2)CC1,-11.190,-0.509,01
Z434457782,CCOc1ccc2c(c1)CC(C(=O)NCCCn1cncn1)=CO2,-11.190,-0.466,02
Z961060594,Cc1nnc(-c2ccc(NC(=O)c3ccc(-n4cnnn4)cc3)cc2)[nH]1,-11.187,-0.430,03
Z1425954110,COc1ccc(OCCS(=O)(=O)Nc2ccc3nn[nH]c3c2)cc1,-11.184,-0.466,01
Z57399273,COc1ccccc1/C=C/C=c1/sc2nc(=O)c(Cc3ccc(F)cc3)nn2c1=O,-11.184,-0.373,01
Z1127082757,CC(C)NC(=O)CCCC(=O)N[C@@H](C)c1cccc(OC(F)F)c1,-11.181,-0.466,01
Z30934091,COc1ccc(C)cc1NC(=O)c1cccc(-n2cnnn2)c1,-11.180,-0.486,01
Z1139496454,Cc1cc(C)n(C[C@H]2CN(CC(=O)Nc3cc(C)on3)CCO2)n1,-11.179,-0.466,02
Z363558810,Cn1nnnc1-c1cccc(NC(=O)CC[C@@H]2CCCO2)c1,-11.179,-0.508,05
Z999078716,Cc1cccc(-n2cc(C(=O)Nc3nnc(-c4ccccn4)[nH]3)nn2)c1,-11.179,-0.430,03
Z1171344530,COc1cccc(NC(=O)CONC(=O)CCOc2ccccc2)c1,-11.176,-0.447,02
Z1271923561,C[C@@]1(CO)CCC[C@@H]1[NH2+]Cc1cnc(N2CCOCC2)nc1,-11.173,-0.508,02
Z1720472899,CCCOc1ccc(OCC(=O)Nc2cnn(C)c2C2CC2)cc1,-11.173,-0.466,01
Z381690086,O=C(NCCNc1ncccn1)c1ccccc1OC[C@@H]1CCCO1,-11.173,-0.447,03
Z933937368,Cc1noc([C@H]2CCCN(C(=O)NCCc3cccc(Cl)c3)C2)n1,-11.173,-0.466,03
Z1492962605,O=C(Nc1cccc(COCC2CC2)c1)[C@@H]1CCn2cncc2C1,-11.171,-0.465,01
Z1828665933,COc1cc(CCNC(=O)NC[C@H]2CC[C@@H](O)C2)ccc1F,-11.169,-0.508,02
Z381690086,O=C(NCCNc1ncccn1)c1ccccc1OC[C@@H]1CCCO1,-11.168,-0.447,04
Z46059539,O=C(/C=C/c1ccc(N2CCOCC2)cc1)c1ccc2c(c1)OCO2,-11.165,-0.447,01
Z814362068,COc1ccc(OCCCNC(=O)N2CC[C@@H](C(N)=O)C2)cc1,-11.165,-0.485,04
Z921418618,O=C(COc1ccc(OCC2CC2)cc1)N[C@H]1CCS(=O)(=O)C1,-11.162,-0.485,03
Z1272342896,CC(C)[N@H+]1CCO[C@@H](C[NH+]2CCN(c3nccn(C)c3=O)CC2)C1,-11.160,-0.465,01
Z1560520361,CCCOc1ccc(C(=O)CCC(=O)N2CCC[C@H]2c2nncn2C)cc1,-11.160,-0.413,02
Z1178130874,CC(C)(C)[C@H]1CC[C@@](O)(CNC(=O)C[C@H]2CCS(=O)(=O)C2)CC1,-11.159,-0.485,04
Z383211964,C[C@H](NC(=O)CCc1nc(-c2ccccn2)no1)[C@H]1C[C@H]2CC[C@@H]1C2,-11.159,-0.446,05
Z422628608,COc1cc(CNC(=O)C[C@@H]2CCCO2)ccc1OC[C@@H]1CCCO1,-11.159,-0.446,02
Z353408976,O=C(NCCCOc1ccccc1)N1CCN(c2ncccn2)CC1,-11.158,-0.446,01
Z31717432,O=C(CCc1nc(=O)c2ccccc2[nH]1)Nc1cccc(O)c1,-11.157,-0.485,01
Z1754500736,CC(C)c1nnc([C@@H]2CN(S(=O)(=O)/C=C/c3ccccc3Cl)CCO2)o1,-11.153,-0.429,03
Z220420912,CCCNC(=O)CN1CCN(c2ccc3nnnn3n2)CC1,-11.153,-0.507,03
Z1591080372,C[C@@H](NCc1nc(-c2cccnc2)no1)c1ccc(-n2cccn2)cc1,-11.152,-0.429,01
Z2451271997,COc1ccc(C[N@H+]2CC[C@@H](CNC(=O)[C@@H]3COCCN3)CC2)cc1,-11.151,-0.446,04
Z448380478,C[C@H]1CN(c2ccc(CNC(=O)NCCn3ccnc3)cn2)CCO1,-11.151,-0.446,01
Z1079896476,CCc1nc([C@@H]2CCCN(C(=O)[C@@H]3C[C@H]3c3cccc(C)c3)C2)no1,-11.150,-0.446,02
Z1143371986,CC(C)C[N@H+]1CCO[C@@H](CNS(=O)(=O)C[C@@H]2CCOC2)C1,-11.150,-0.531,03
Z2685357145,CC(C)[C@H]1CC[C@H](c2nc(-c3c[nH]c(=O)[nH]c3=O)no2)CC1,-11.149,-0.507,03
Z1169976832,CC(=O)NCc1ccc(-c2nc(Cc3noc(C)n3)no2)cc1,-11.148,-0.485,02
Z361223086,CN(CC(=O)NCc1ccc2c(c1)OCCO2)S(C)(=O)=O,-11.148,-0.531,01
Z2010703506,Cc1ccc(C2=NO[C@@H](CNc3ncnc4c3cnn4C)C2)cc1C,-11.147,-0.446,02
Z2451271997,COc1ccc(C[N@H+]2CC[C@@H](CNC(=O)[C@@H]3COCCN3)CC2)cc1,-11.147,-0.446,05
Z46059932,CCNC(=O)COc1ccc(/C=C/C(=O)c2ccc3c(c2)OCO3)cc1OCC,-11.147,-0.384,04
Z114950992,CCOc1cc2c(cc1/C=C/C(=O)c1ccc3c(c1)NC(=O)CO3)O[C@H](C)C2,-11.144,-0.398,04
Z91144062,COCc1ccc(C(=O)NCCc2ccc3c(c2)OCO3)cc1,-11.143,-0.484,01
Z1169976832,CC(=O)NCc1ccc(-c2nc(Cc3noc(C)n3)no2)cc1,-11.142,-0.484,03
Z422628608,COc1cc(CNC(=O)C[C@@H]2CCCO2)ccc1OC[C@@H]1CCCO1,-11.141,-0.446,03
Z1456255791,O=C(c1ccc2c(c1)OCCO2)C1CCN([C@@H]2CS(=O)(=O)C[C@H]2O)CC1,-11.140,-0.428,04
Z1739699312,CS(=O)(=O)Nc1ccc(-c2noc(Cc3ccc(O)cc3)n2)cc1,-11.139,-0.464,04
Z52468514,CC(=O)c1ccc(OCCCC(=O)N(Cc2ccc3c(c2)OCO3)C2CCCC2)cc1,-11.138,-0.359,05
Z227987346,CC(C)(C)c1ccc(NC(=O)C2CCN(S(C)(=O)=O)CC2)cc1,-11.137,-0.484,01
Z1021116886,CC(=O)c1ccc(-n2c(C)cn(C[C@@H](O)COc3ccc(Oc4ccccc4)cc3)c2=O)cc1,-11.136,-0.328,01
Z165131774,CN(CCNC(=O)/C=C/c1ccc2c(c1)OCO2)c1ccccc1,-11.136,-0.464,01
Z381690086,O=C(NCCNc1ncccn1)c1ccccc1OC[C@@H]1CCCO1,-11.135,-0.445,05
Z1166121276,Cc1nnc(SCc2nc(Cc3cccc(Cl)c3)no2)n1N,-11.134,-0.506,02
Z1334612550,CCc1cc(N2CCC(NC(=O)CC[C@@H]3CCCO3)CC2)ncn1,-11.134,-0.464,04
Z32835816,COc1ccc(CC(=O)N2CCC(C(=O)N3CCOCC3)CC2)cc1,-11.133,-0.445,01
Z921418618,O=C(COc1ccc(OCC2CC2)cc1)N[C@H]1CCS(=O)(=O)C1,-11.133,-0.484,04
Z941756586,CC(=O)c1cccc(OCCCC(=O)N2C[C@H](C(N)=O)CC[C@H]2C)c1,-11.132,-0.445,01
Z434457782,CCOc1ccc2c(c1)CC(C(=O)NCCCn1cncn1)=CO2,-11.130,-0.464,03
Z921418618,O=C(COc1ccc(OCC2CC2)cc1)N[C@H]1CCS(=O)(=O)C1,-11.130,-0.484,05
Z449785670,N#C/C(=C\c1ccc(N2CCOCC2)cc1)C(=O)c1ccc2c(c1)OCO2,-11.129,-0.412,03
Z1079896476,CCc1nc([C@@H]2CCCN(C(=O)[C@@H]3C[C@H]3c3cccc(C)c3)C2)no1,-11.128,-0.445,03
Z2732666180,COCCOc1cccc(C(=O)N2CCC[C@H](n3ccnn3)CC2)c1,-11.128,-0.445,01
Z32835816,COc1ccc(CC(=O)N2CCC(C(=O)N3CCOCC3)CC2)cc1,-11.128,-0.445,02
Z422628608,COc1cc(CNC(=O)C[C@@H]2CCCO2)ccc1OC[C@@H]1CCCO1,-11.128,-0.445,04
Z353408976,O=C(NCCCOc1ccccc1)N1CCN(c2ncccn2)CC1,-11.126,-0.445,02
Z827260718,Cc1cccc(NC(=O)CCNC(=O)c2cccc(OC(F)F)c2)n1,-11.125,-0.445,04
Z1271923561,C[C@@]1(CO)CCC[C@@H]1[NH2+]Cc1cnc(N2CCOCC2)nc1,-11.123,-0.506,03
Z57278797,CCCn1nnc(NC(=O)c2ccc(OCC(C)C)cc2)n1,-11.123,-0.506,02
Z1169976832,CC(=O)NCc1ccc(-c2nc(Cc3noc(C)n3)no2)cc1,-11.122,-0.484,04
Z992199022,CNC(=O)c1cccc(CNC(=O)c2ccc(-n3cnnc3)cc2)c1,-11.122,-0.445,01
Z1389984252,CC(C)C[C@H](C)OCCC(=O)Nc1cccc(-c2ccc(=O)[nH]n2)c1,-11.121,-0.445,03
Z1079896476,CCc1nc([C@@H]2CCCN(C(=O)[C@@H]3C[C@H]3c3cccc(C)c3)C2)no1,-11.120,-0.445,04
Z1579478735,Cc1ccc(C[C@H]2CCCN2C(=O)NCCc2nnnn2C)cc1,-11.120,-0.463,02
Z227548446,COc1ccccc1-c1cc(CSc2nnc(C(C)(C)C)[nH]2)on1,-11.118,-0.463,04
Z2956223968,COc1cccc(C[C@@H](C)CC(=O)N2CCC3(CC2)CNC(=O)C3)c1,-11.118,-0.445,01
Z1796868292,COc1ccc(CCNC(=O)C[N@H+]2CC[C@H](C)[C@H]2CO)cc1OC,-11.117,-0.463,04
Z351236604,O=C(/C=C/c1cn(Cc2ccccc2)nc1-c1cccnc1)c1ccc(O)c(CCCl)c1,-11.116,-0.347,03
Z2379518427,Cc1cnc(CNC(=O)CNC(=O)c2ccc(C(C)(C)C)cc2)nc1,-11.115,-0.445,01
Z1362288248,COc1ccc(C(=O)C2CCN(C(=O)c3c[nH]c(=O)n(C)c3=O)CC2)cc1,-11.114,-0.412,01
Z281543178,CC(C)=C[C@H]1[C@H](C(=O)NCCc2nnc3n2CCCCC3)C1(C)C,-11.114,-0.463,02
Z2764030238,Cc1cccc(CC(=O)NC[C@H]2C[C@H](c3nc(C)no3)C[C@H]2O)c1,-11.113,-0.463,03
Z1739699312,CS(=O)(=O)Nc1ccc(-c2noc(Cc3ccc(O)cc3)n2)cc1,-11.111,-0.463,05
Z46059539,O=C(/C=C/c1ccc(N2CCOCC2)cc1)c1ccc2c(c1)OCO2,-11.111,-0.444,02
Z1827751728,CCN(c1ccc(NC(=O)CCCc2cnn[nH]2)cc1)C(C)C,-11.110,-0.483,01
Z2685357145,CC(C)[C@H]1CC[C@H](c2nc(-c3c[nH]c(=O)[nH]c3=O)no2)CC1,-11.110,-0.505,04
Z1158465895,CC(C)Cc1ccc(C(=O)CCC(=O)Nc2cc(C(N)=O)c(F)cc2F)cc1,-11.106,-0.397,04
Z1171344530,COc1cccc(NC(=O)CONC(=O)CCOc2ccccc2)c1,-11.105,-0.444,03
Z1754500736,CC(C)c1nnc([C@@H]2CN(S(=O)(=O)/C=C/c3ccccc3Cl)CCO2)o1,-11.101,-0.427,04
Z1796868292,COc1ccc(CCNC(=O)C[N@H+]2CC[C@H](C)[C@H]2CO)cc1OC,-11.101,-0.463,05
Z826520874,CCc1noc(CS(=O)(=O)C[C@@H](O)c2ccc(C)c(C)c2)n1,-11.101,-0.505,02
